# harness	differential-sweep/1
# seed	20260817
# reference	historical
# subject	stub-faulty-minus
# sha256.use.jar	80ac8ae433b8345677472019991356950f094f4a104cfbce1f75783a7308788d
# sha256.atenearesearchgroup.uncertainty.jar	53b2a43feb0a0a39844a60278dd80a7d4b975ef324fb05c6db28831e835e59d0
# operations	URealValue.minus(value)
# rows	784
# rows.measured	784
# rows.agreement	558
# rows.disagreement	226
# rows.throwClassMismatch	0
# rows.javaTypeMismatch	0
# rows.subjectTypeObserved	0
# rows.subjectTypeAssumed	0
# verdict.AGREE	558
# verdict.DIFFER	226
# op.URealValue.minus(value).rows	784
# op.URealValue.minus(value).measured	784
# op.URealValue.minus(value).agreement	558
# op.URealValue.minus(value).disagreement	226
# op.URealValue.minus(value).javaTypeMismatch	0
# op.URealValue.minus(value).subjectTypeObserved	0
# op.URealValue.minus(value).subjectTypeAssumed	0
# op.URealValue.minus(value).distinctReferenceValues	389
# op.URealValue.minus(value).discriminating	true
# accepted.degenerateOperations	0
index	operation	inputs	historical	ported	verdict	note
89	URealValue.minus(value)	UREAL(1.0,0.0)@URealValue | UREAL(-1.0,0.0)@URealValue	UREAL(2.0,0.0)@URealValue	UREAL(2.0,0.0)@URealValue	AGREE	
90	URealValue.minus(value)	UREAL(1.0,0.0)@URealValue | UREAL(-1.0,1.0)@URealValue	UREAL(2.0,1.0)@URealValue	UREAL(2.0,1.0)@URealValue	AGREE	
91	URealValue.minus(value)	UREAL(1.0,0.0)@URealValue | UREAL(-1.0,0.5)@URealValue	UREAL(2.0,0.5)@URealValue	UREAL(2.0,0.5)@URealValue	AGREE	
92	URealValue.minus(value)	UREAL(1.0,0.0)@URealValue | UREAL(0.5,0.5)@URealValue	UREAL(0.5,0.5)@URealValue	UREAL(0.5,0.5)@URealValue	AGREE	
93	URealValue.minus(value)	UREAL(1.0,0.0)@URealValue | UREAL(-0.5,0.25)@URealValue	UREAL(1.5,0.25)@URealValue	UREAL(1.5,0.25)@URealValue	AGREE	
94	URealValue.minus(value)	UREAL(1.0,0.0)@URealValue | UREAL(2.0,0.0)@URealValue	UREAL(-1.0,0.0)@URealValue	UREAL(-1.0,0.0)@URealValue	AGREE	
95	URealValue.minus(value)	UREAL(1.0,0.0)@URealValue | UREAL(100.0,0.001)@URealValue	UREAL(-99.0,0.001)@URealValue	UREAL(-99.0,0.001)@URealValue	AGREE	
96	URealValue.minus(value)	UREAL(1.0,0.0)@URealValue | UREAL(-100.0,0.001)@URealValue	UREAL(101.0,0.001)@URealValue	UREAL(101.0,0.001)@URealValue	AGREE	
97	URealValue.minus(value)	UREAL(1.0,0.0)@URealValue | UREAL(4.9E-324,0.0)@URealValue	UREAL(1.0,0.0)@URealValue	UREAL(1.0,0.0)@URealValue	AGREE	
98	URealValue.minus(value)	UREAL(1.0,0.0)@URealValue | UREAL(1.7976931348623157E308,0.0)@URealValue	UREAL(-1.7976931348623157E308,0.0)@URealValue	UREAL(-1.7976931348623157E308,0.0)@URealValue	AGREE	
